Statistical profiling result from conlog-v8.log, (3625 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1   50.0%          Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/streamroller/node_modules/debug/src/node.js:1:1
      1  100.0%            LazyCompile: *Module._compile node:internal/modules/cjs/loader:1059:37
      1   50.0%          Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose/node_modules/mongodb/lib/collection.js:1:1
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      2    3.6%        Function: ^checkInvalidHeaderChar node:_http_common:232:32
      2  100.0%          Function: ^<anonymous> node:_http_outgoing:564:45
      2  100.0%            Function: ^setHeader node:_http_outgoing:574:57
      2    3.6%        Function: ^Module node:internal/modules/cjs/loader:172:16
      2  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      2  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
      1    1.8%        LazyCompile: ~translatePeerCertificate node:_tls_common:125:34
      1  100.0%          LazyCompile: ~translatePeerCertificate node:_tls_common:125:34
      1  100.0%            LazyCompile: ~TLSSocket.getPeerCertificate node:_tls_wrap:986:50
      1    1.8%        LazyCompile: ~setup /home/tobias/Documentos/coderCursoBack/clase32/node_modules/log4js/lib/appenders/index.js:101:15
      1  100.0%          LazyCompile: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/log4js/lib/configuration.js:46:21
      1  100.0%            /usr/bin/node
      1    1.8%        LazyCompile: ~path /home/tobias/Documentos/coderCursoBack/clase32/node_modules/socket.io/dist/index.js:115:9
      1  100.0%          LazyCompile: ~Server /home/tobias/Documentos/coderCursoBack/clase32/node_modules/socket.io/dist/index.js:49:16
      1  100.0%            Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/dist/index.js:1:1
      1    1.8%        LazyCompile: ~parse /home/tobias/Documentos/coderCursoBack/clase32/node_modules/content-type/index.js:106:16
      1  100.0%          LazyCompile: ~setCharset /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/utils.js:250:41
      1  100.0%            LazyCompile: ~send /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/response.js:107:25
      1    1.8%        LazyCompile: ~p /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/vi/company/index.js:1:246
      1  100.0%          LazyCompile: ~D /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/vi/company/index.js:1:520
      1  100.0%            Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/vi/company/index.js:1:1
      1    1.8%        LazyCompile: ~n /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/ur/animal/index.js:1:246
      1  100.0%          LazyCompile: ~m /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/ur/animal/index.js:1:419
      1  100.0%            Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/ur/animal/index.js:1:1
      1    1.8%        LazyCompile: ~n /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/el/company/index.js:1:246
      1  100.0%          LazyCompile: ~i /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/el/company/index.js:1:419
      1  100.0%            Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/el/company/index.js:1:1
