Statistical profiling result from sinlog-v8.log, (3690 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6  100.0%          Function: ^contentType /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/response.js:594:32
      6  100.0%            Function: ^send /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/response.js:107:25
      5    9.1%        Function: ^FastBuffer node:internal/buffer:958:14
      5  100.0%          Function: ^createUnsafeBuffer node:internal/buffer:1059:28
      3   60.0%            Function: ^createPool node:buffer:151:20
      1   20.0%            LazyCompile: ~createPool node:buffer:151:20
      1   20.0%            Function: ^allocate node:buffer:398:18
      4    7.3%        Function: ^stat node:internal/modules/cjs/loader:151:14
      3   75.0%          Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      3  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1   25.0%          Function: ^tryFile node:internal/modules/cjs/loader:384:17
      1  100.0%            LazyCompile: ~tryPackage node:internal/modules/cjs/loader:338:20
      4    7.3%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      4  100.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      2   50.0%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      2   50.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      3    5.5%        Function: ^format /home/tobias/Documentos/coderCursoBack/clase32/node_modules/content-type/index.js:65:17
      3  100.0%          Function: ^setCharset /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/utils.js:250:41
      3  100.0%            Function: ^send /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/response.js:107:25
      3    5.5%        Function: ^expressInit /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/middleware/init.js:29:30
      3  100.0%          LazyCompile: *next /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/router/index.js:176:16
      3  100.0%            Function: ^query /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/middleware/query.js:39:24
      3    5.5%        Function: ^asString /home/tobias/Documentos/coderCursoBack/clase32/node_modules/date-format/lib/index.js:29:18
      3  100.0%          Function: ^timestampLevelAndCategory /home/tobias/Documentos/coderCursoBack/clase32/node_modules/log4js/lib/layouts.js:42:35
      3  100.0%            Function: ^colouredLayout /home/tobias/Documentos/coderCursoBack/clase32/node_modules/log4js/lib/layouts.js:71:24
      2    3.6%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      2  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1   50.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1   50.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    1.8%        LazyCompile: ~u /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/el/finance/credit_card/american_express.js:1:202
      1  100.0%          LazyCompile: ~x /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/el/finance/credit_card/american_express.js:1:375
      1  100.0%            Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/el/finance/credit_card/american_express.js:1:1
      1    1.8%        LazyCompile: ~parseLineInfo /home/tobias/Documentos/coderCursoBack/clase32/node_modules/bluebird/js/release/debuggability.js:665:23
      1  100.0%          LazyCompile: ~setBounds /home/tobias/Documentos/coderCursoBack/clase32/node_modules/bluebird/js/release/debuggability.js:675:19
      1  100.0%            LazyCompile: ~module.exports /home/tobias/Documentos/coderCursoBack/clase32/node_modules/bluebird/js/release/promise.js:2:26
      1    1.8%        LazyCompile: ~isIPv6 node:internal/net:35:16
      1  100.0%          LazyCompile: ~isIP node:internal/net:39:14
      1  100.0%            Function: ^parseSslOptions /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose/node_modules/mongodb/lib/core/connection/connect.js:239:25
      1    1.8%        LazyCompile: ~get /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/en/animal/index.js:1:355
      1  100.0%          Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/en/animal/index.js:1:1
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1    1.8%        LazyCompile: ~formatProperty node:internal/util/inspect:1810:24
      1  100.0%          LazyCompile: ~formatRaw node:internal/util/inspect:820:19
      1  100.0%            LazyCompile: ~formatValue node:internal/util/inspect:745:21
      1    1.8%        LazyCompile: ~findModuleNotFound /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose/node_modules/mongodb/node_modules/optional-require/dist/index.js:51:28
      1  100.0%          LazyCompile: ~_optionalRequire /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose/node_modules/mongodb/node_modules/optional-require/dist/index.js:109:26
      1  100.0%            LazyCompile: ~x /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose/node_modules/mongodb/node_modules/optional-require/dist/index.js:170:22
      1    1.8%        LazyCompile: ~f /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/nl/internet/index.js:1:246
      1  100.0%          LazyCompile: ~m /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/nl/internet/index.js:1:419
      1  100.0%            Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/@faker-js/faker/dist/cjs/locales/nl/internet/index.js:1:1
      1    1.8%        LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      1  100.0%          Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    1.8%        LazyCompile: ~StateMachine.ctor /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose/lib/statemachine.js:34:29
      1  100.0%          Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose/lib/internal.js:1:1
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1    1.8%        LazyCompile: ~Mime.lookup /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mime/mime.js:69:33
      1  100.0%          Function: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mime/mime.js:1:1
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1    1.8%        LazyCompile: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose/node_modules/mongodb/lib/core/uri_parser.js:95:35
      1  100.0%          LazyCompile: ~onresolve node:dns:207:19
      1    1.8%        LazyCompile: ~<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose-legacy-pluralize/index.js:87:34
      1  100.0%          /usr/bin/node
      1  100.0%            LazyCompile: ~pluralize /home/tobias/Documentos/coderCursoBack/clase32/node_modules/mongoose-legacy-pluralize/index.js:83:19
      1    1.8%        LazyCompile: *next /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/router/index.js:176:16
      1  100.0%          Function: ^handle /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/router/index.js:136:31
      1  100.0%            Function: ^router /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/router/index.js:46:18
      1    1.8%        LazyCompile: *compileFunction node:vm:308:25
      1  100.0%          Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1    1.8%        LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%          Function: ^Module.require node:internal/modules/cjs/loader:997:36
      1  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
      1    1.8%        Function: ~<anonymous> node:internal/crypto/keys:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    1.8%        Function: ~<anonymous> node:constants:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            Function: ^compileForPublicLoader node:internal/bootstrap/loaders:246:25
      1    1.8%        Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    1.8%        Function: ^sendLogEventToAppender /home/tobias/Documentos/coderCursoBack/clase32/node_modules/log4js/lib/log4js.js:36:32
      1  100.0%          Function: ^<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/node_modules/log4js/lib/clustering.js:24:21
      1  100.0%            /usr/bin/node
      1    1.8%        Function: ^parserOnIncoming node:_http_server:857:26
      1  100.0%          Function: ^parserOnHeadersComplete node:_http_common:77:33
      1    1.8%        Function: ^getOwn node:internal/bootstrap/loaders:180:16
      1  100.0%          Function: ^syncExports node:internal/bootstrap/loaders:287:14
      1  100.0%            Function: ^<anonymous> node:internal/bootstrap/loaders:273:15
      1    1.8%        Function: ^compileFunction node:vm:308:25
      1  100.0%          Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
      1    1.8%        Function: ^checkInvalidHeaderChar node:_http_common:232:32
      1  100.0%          Function: ^<anonymous> node:_http_outgoing:564:45
